key,text
command.menu.title,NEXUS 명령
command.menu.subtitle,"서버, 설정, 아이덴티티"
command.menu.settings,설정
command.menu.about,NEXUS 정보
common.close,닫기
common.save,저장
common.cancel,취소
common.delete,삭제
common.rename,이름 변경
common.open,열기
common.copy,복사
common.cut,잘라내기
common.paste,붙여넣기
common.select_all,전체 선택
common.duplicate,복제
common.refresh,새로고침
common.ok,확인
common.help,도움말
common.restart_server,서버 재시작
common.hand,캔버스 이동
common.select,노드 선택
common.standby,대기
common.recover_boot,복구 및 부팅
common.retry_boot,부팅 재시도
common.online,온라인
common.ready,준비됨
common.saved,저장됨
core_link.reset_title,시스템 초기화
core_link.reset_message,Core Link를 해제하고 구성을 초기화할까요?
core_link.terminate,해제
core_link.patch,패치
core_link.select_comfy_folder,ComfyUI 폴더 선택
core_link.platform_not_supported_title,플랫폼 미지원
core_link.folder_selection_not_supported,이 플랫폼에서는 폴더 선택을 지원하지 않습니다.
core_link.missing_title,Core Link 없음
core_link.comfy_root_not_configured,ComfyUI 루트 경로가 설정되지 않았습니다.
core_link.folder_missing_title,폴더 없음
core_link.folder_missing_message,{0} 폴더를 찾을 수 없습니다.
core_link.hud_patch_unavailable_title,HUD 패치 불가
core_link.hud_patch_missing_local_project,"유효한 형제 ComfyUI-HUD 프로젝트를 찾을 수 없습니다.\nhud.manifest.json, __init__.py, js/가 필요합니다."
core_link.patch_local_hud_title,로컬 HUD 패치
core_link.patch_local_hud_message,"로컬 HUD 파일을 현재 ComfyUI custom node에 복사할까요?\n\nSource:\n{0}\n\nTarget:\n{1}"
core_link.hud_patch_complete_title,HUD 패치 완료
core_link.hud_patch_failed_title,HUD 패치 실패
core_link.bridge_patch_unavailable_title,Nexus Bridge 패치 불가
core_link.bridge_patch_missing_hud_message,"ComfyUI-HUD가 설치되어 있지 않거나 불완전합니다.\n\nTarget:\n{0}"
core_link.bridge_patch_missing_source_message,"패키지된 Nexus bridge 파일을 찾을 수 없습니다.\n\nSource:\n{0}"
core_link.patch_nexus_bridge_title,Nexus Bridge 패치
core_link.patch_nexus_bridge_message,"패키지된 Nexus bridge 파일을 현재 ComfyUI-HUD 설치 위치에 복사할까요?\n\nSource:\n{0}\n\nTarget:\n{1}"
core_link.bridge_patch_complete_title,Nexus Bridge 패치 완료
core_link.bridge_patch_failed_title,Nexus Bridge 패치 실패
server_config.host_title,ComfyUI 호스트
server_config.host_message,Nexus가 ComfyUI를 시작할 때 사용할 호스트를 설정합니다.
server_config.port_title,ComfyUI 포트
server_config.port_message,Nexus가 ComfyUI를 시작할 때 사용할 포트를 설정합니다.
server_config.invalid_host_title,잘못된 호스트
server_config.invalid_host_message,공백이 없는 짧은 호스트 값을 사용하세요.
server_config.invalid_port_title,잘못된 포트
server_config.invalid_port_message,1부터 65535 사이의 포트를 사용하세요.
server_config.restart_failed_title,재시작 실패
settings.validation.invalid_settings_title,잘못된 설정
app.shutdown_failed_title,종료 실패
views.overlays.about_overlay_view.subtitle,"런타임 셸, 로컬 브리지, ComfyUI 실행 컨텍스트."
views.overlays.about_overlay_view.version,버전
views.overlays.about_overlay_view.comfyui_path,ComfyUI 경로
views.overlays.about_overlay_view.server_url,서버 URL
views.overlays.about_overlay_view.python_mode,Python 모드
app.app_shell.home,홈
pages.main_page.main_page.model,모델
pages.main_page.main_page.preparing_restart,재시작 준비 중
pages.main_page.main_page.stopping_probes_and_server_process,프로브 및 서버 중지 중...
pages.main_page.main_page.input_is_locked_until_current_operation_completes,현재 작업이 완료될 때까지 입력을 제한합니다.
views.components.folder_browser_view.browse_or_paste_folder_path,폴더 경로를 선택하거나 붙여넣으세요.
views.components.folder_browser_view.parent,상위
views.components.folder_browser_view.drives,드라이브
views.components.folder_browser_view.browse,찾아보기
