key,text
command.menu.title,NEXUS 指令
command.menu.subtitle,伺服器、設定、身分
command.menu.settings,設定
command.menu.about,關於 NEXUS
command.menu.exit,結束 NEXUS
common.close,關閉
common.save,儲存
common.cancel,取消
common.continue,繼續
common.delete,刪除
common.rename,重新命名
common.open,開啟
common.copy,複製
common.cut,剪下
common.paste,貼上
common.select_all,全選
common.duplicate,建立副本
common.refresh,重新整理
common.ok,確定
common.help,說明
common.restart_server,重新啟動伺服器
common.hand,移動畫布
common.select,選擇節點
common.standby,待命
common.recover_boot,恢復並啟動
common.retry_boot,重試引導
common.online,線上
common.ready,就緒
common.saved,已儲存
core_link.reset_title,系統重設
core_link.reset_message,終止 Core Link 並重設組態？
core_link.terminate,終止
core_link.patch,修補
core_link.select_comfy_folder,選擇 ComfyUI 資料夾
core_link.platform_not_supported_title,平台不支援
core_link.folder_selection_not_supported,此平台不支援資料夾選擇。
core_link.missing_title,缺少 Core Link
core_link.comfy_root_not_configured,尚未設定 ComfyUI 根路徑。
core_link.folder_missing_title,資料夾缺失
core_link.folder_missing_message,找不到 {0} 資料夾。
core_link.hud_patch_unavailable_title,HUD 修補不可用
core_link.hud_patch_missing_local_project,找不到有效的同層 ComfyUI-HUD 專案。\n需要 hud.manifest.json、__init__.py 和 js/。
core_link.patch_local_hud_title,修補本機 HUD
core_link.patch_local_hud_message,要將本機 HUD 檔案複製到目前 ComfyUI 自訂節點嗎？\n\n來源：\n{0}\n\n目標：\n{1}
core_link.hud_patch_complete_title,HUD 修補完成
core_link.hud_patch_failed_title,HUD 修補失敗
core_link.bridge_patch_unavailable_title,Nexus Bridge 修補不可用
core_link.bridge_patch_missing_hud_message,ComfyUI-HUD 未安裝或不完整。\n\n目標：\n{0}
core_link.bridge_patch_missing_source_message,找不到封裝的 Nexus bridge 檔案。\n\n來源：\n{0}
core_link.patch_nexus_bridge_title,修補 Nexus Bridge
core_link.patch_nexus_bridge_message,要將封裝的 Nexus bridge 檔案複製到獨立的 ComfyUI-NexusBridge 擴充中嗎？\n\n來源：\n{0}\n\n目標：\n{1}
core_link.bridge_patch_complete_title,Nexus Bridge 修補完成
core_link.bridge_patch_failed_title,Nexus Bridge 修補失敗
server_config.host_title,ComfyUI 主機
server_config.host_message,設定 Nexus 啟動 ComfyUI 時使用的主機。
server_config.port_title,ComfyUI 連接埠
server_config.port_message,設定 Nexus 啟動 ComfyUI 時使用的連接埠。
server_config.invalid_host_title,主機無效
server_config.invalid_host_message,請使用不含空格的簡短主機值。
server_config.invalid_port_title,連接埠無效
server_config.invalid_port_message,請使用 1 到 65535 之間的連接埠。
server_config.restart_failed_title,重啟失敗
settings.validation.invalid_settings_title,設定無效
app.shutdown_failed_title,關閉失敗
app.safe_shutdown_title,正在安全關閉
app.safe_shutdown_detail,正在結束前完成 Nexus 服務清理...
app.server_shutdown_title,正在關閉
app.server_shutdown_detail,正在結束 Nexus 前停止 ComfyUI 伺服器...
views.overlays.about_overlay_view.subtitle,執行環境 Shell、本機橋接和 ComfyUI 啟動內容。
views.overlays.about_overlay_view.version,版本
views.overlays.about_overlay_view.comfyui_path,ComfyUI 路徑
views.overlays.about_overlay_view.server_url,伺服器 URL
views.overlays.about_overlay_view.python_mode,Python 模式
views.overlays.about_overlay_view.close_help,關閉關於視窗。
views.overlays.about_overlay_view.server_url_help,在瀏覽器中開啟目前的 ComfyUI 伺服器 URL。
app.app_shell.home,首頁
pages.main_page.main_page.model,模型
pages.main_page.main_page.preparing_restart,準備重啟
pages.main_page.main_page.stopping_probes_and_server_process,正在停止探測和伺服器程序...
pages.main_page.main_page.input_is_locked_until_current_operation_completes,目前操作完成前，輸入已鎖定。
views.components.folder_browser_view.browse_or_paste_folder_path,瀏覽或貼上資料夾路徑
views.components.folder_browser_view.parent,上級
views.components.folder_browser_view.drives,磁碟機
views.components.folder_browser_view.browse,瀏覽
views.components.folder_browser_view.path_input,資料夾路徑
views.components.folder_browser_view.path_input_help,輸入或貼上資料夾路徑。
views.components.folder_browser_view.parent_help,前往上層資料夾。
views.components.folder_browser_view.drives_help,顯示可用磁碟機。
views.components.folder_browser_view.browse_help,開啟系統資料夾選擇器。
views.controls.option_deck.run_mode_option_deck_view.run,執行
views.controls.option_deck.run_mode_option_deck_view.run_on_change,更改時執行
views.controls.option_deck.run_mode_option_deck_view.run_instant,立即執行
views.controls.option_deck.run_mode_option_deck_view.toggle,執行模式選擇器
views.controls.option_deck.run_mode_option_deck_view.toggle_help,開啟或關閉執行模式選項。
views.controls.option_deck.run_mode_option_deck_view.run_on_change_help,偵測到更改時執行工作流程。
views.controls.option_deck.run_mode_option_deck_view.run_instant_help,後端閒置時立即執行。
views.overlays.bookmark_hud_view.nexus_workflow_index,工作流索引
views.overlays.bookmark_hud_view.search_workflows,搜尋工作流...
views.overlays.bookmark_hud_view.0_workflows_registered,未註冊工作流
views.overlays.canvas_toolbar_view.help_center,說明中心
views.overlays.canvas_toolbar_view.terminal,終端機
views.overlays.canvas_toolbar_view.shortcuts,快捷鍵
views.overlays.canvas_toolbar_view.fit,適應畫布
views.overlays.canvas_toolbar_view.map,地圖
views.overlays.canvas_toolbar_view.links,連結
views.overlays.command_input_view.console,主控台
views.overlays.loading_overlay_view.nexus_shell,NEXUS 外殼
views.overlays.loading_overlay_view.initializing_nexus_shell,PREPARING NEXUS...
views.overlays.loading_overlay_view.open_setup,開啟設定
views.overlays.loading_overlay_view.check_install,檢查安裝
views.overlays.loading_overlay_view.nexus_server_boot,COMFYUI SERVER // STANDBY
views.overlays.loading_overlay_view.comfyui_configuration_is_ready_start_the_backend_service,配置已就緒。\n請啟動後端服務以繼續。
views.overlays.loading_overlay_view.state,狀態
views.overlays.loading_overlay_view.engage_server,啟動伺服器
views.overlays.loading_overlay_view.start_backend_link,啟動後端連結
views.overlays.loading_overlay_view.repair_cuda_runtime,修復 CUDA 執行環境
views.overlays.loading_overlay_view.access_denied_core_link_not_found,存取被拒絕：未找到核心連結
views.overlays.loading_overlay_view.nexus_shell_utilities_require_access_to_your_comfyui_roo,Nexus 工具需要存取您的 ComfyUI 根目錄。\n請建立連結以繼續。
views.overlays.loading_overlay_view.select_comfyui_core_directory,選擇 COMFYUI 核心目錄
views.overlays.loading_overlay_view.no_comfyui_core_detected_on_this_terminal,未檢測到 ComfyUI 核心？
views.overlays.loading_overlay_view.get_official_launcher,獲取官方啟動器
views.overlays.loading_overlay_view.clone_from_github,從 GitHub 複製
views.overlays.loading_overlay_view.nexus_maintenance,NEXUS 維護
views.overlays.loading_overlay_view.backend_process_already_starting,ComfyUI 伺服器已在啟動。\n正在檢查連接埠連線與 API 就緒狀態。
views.overlays.loading_overlay_view.backend_offline_engage,ComfyUI 伺服器目前離線。\n啟動伺服器以繼續準備 Nexus。
views.overlays.loading_overlay_view.recover_runtime_and_boot_title,恢復執行環境並引導？
views.overlays.loading_overlay_view.recover_runtime_and_boot_message,這將同步 ComfyUI 依賴，修復所選執行環境的 CUDA PyTorch 輪子，然後啟動伺服器。可能需要幾分鐘。\n\n目標: {0}
views.overlays.loading_overlay_view.preparing_runtime_cleanup_recovery,正在準備執行環境清理恢復。\n在維護完成前，輸入已鎖定。
views.overlays.loading_overlay_view.stopping_runtime_processes,正在停止執行程序並清理 LocalRuntime
views.overlays.loading_overlay_view.retry_cleanup,重試清理
views.overlays.loading_overlay_view.runtime_cleanup_complete_setup,執行環境清理完成。現在將恢復設定。
views.overlays.loading_overlay_view.backend_alive_waiting_for_port,後端程序已啟動。\n正在等待 ComfyUI 連接埠接受連線。
views.overlays.loading_overlay_view.repairing_runtime_before_backend_launch,正在啟動後端前修復執行環境依賴。\n即時日誌如下。
