key,text
command.menu.settings,SETTINGS
command.menu.about,ABOUT NEXUS
command.menu.exit,EXIT NEXUS
common.close,CLOSE
common.save,Save
common.cancel,Cancel
common.delete,Delete
common.rename,Rename
common.open,Open
common.copy,Copy
common.cut,Cut
common.paste,Paste
common.select_all,Select all
common.duplicate,Duplicate
common.refresh,Refresh
common.ok,OK
common.help,HELP
common.restart_server,RESTART SERVER
common.hand,HAND
common.select,SELECT
common.standby,STANDBY
common.recover_boot,RECOVER & BOOT
common.retry_boot,RETRY BOOT
common.online,ONLINE
common.ready,READY
common.saved,SAVED
core_link.reset_title,SYSTEM RESET
core_link.reset_message,Terminate Core Link and reset configuration?
core_link.terminate,TERMINATE
core_link.patch,PATCH
core_link.select_comfy_folder,Select ComfyUI Folder
core_link.platform_not_supported_title,Platform Not Supported
core_link.folder_selection_not_supported,Folder selection is not supported on this platform.
core_link.missing_title,Core Link Missing
core_link.comfy_root_not_configured,ComfyUI root path is not configured.
core_link.folder_missing_title,Folder Missing
core_link.folder_missing_message,{0} folder was not found.
core_link.hud_patch_unavailable_title,HUD Patch Unavailable
core_link.hud_patch_missing_local_project,"Could not find a valid sibling ComfyUI-HUD project.\nExpected hud.manifest.json, __init__.py, and js/."
core_link.patch_local_hud_title,PATCH LOCAL HUD
core_link.patch_local_hud_message,Copy local HUD files into the active ComfyUI custom node?\n\nSource:\n{0}\n\nTarget:\n{1}
core_link.hud_patch_complete_title,HUD Patch Complete
core_link.hud_patch_failed_title,HUD Patch Failed
core_link.bridge_patch_unavailable_title,Nexus Bridge Patch Unavailable
core_link.bridge_patch_missing_source_message,Packaged Nexus bridge files were not found.\n\nSource:\n{0}
core_link.patch_nexus_bridge_title,PATCH NEXUS BRIDGE
core_link.patch_nexus_bridge_message,Copy packaged Nexus bridge files into the independent ComfyUI-NexusBridge extension?\n\nSource:\n{0}\n\nTarget:\n{1}
core_link.bridge_patch_complete_title,Nexus Bridge Patch Complete
core_link.bridge_patch_failed_title,Nexus Bridge Patch Failed
server_config.host_title,ComfyUI Host
server_config.host_message,Set the host used when Nexus starts ComfyUI.
server_config.port_title,ComfyUI Port
server_config.port_message,Set the port used when Nexus starts ComfyUI.
server_config.invalid_host_title,Invalid Host
server_config.invalid_host_message,Use a compact host value without spaces.
server_config.invalid_port_title,Invalid Port
server_config.invalid_port_message,Use a port between 1 and 65535.
server_config.restart_failed_title,Restart Failed
settings.validation.invalid_settings_title,Invalid Settings
app.shutdown_failed_title,Shutdown Failed
